#Board #Chan #SiPM #MPV #sigm #chi2/ndf 

0 0 0 366.936 26.734 1.920
0 0 1 425.860 28.275 2.549

0 1 0 381.959 20.472 1.985
0 1 1 387.263 18.642 1.854

0 2 0 362.912 16.903 1.548
0 2 1 446.853 22.643 1.924

0 3 0 409.933 15.933 1.739
0 3 1 445.331 15.530 1.465

0 4 0 333.043 28.053 1.117
0 4 1 391.206 27.136 1.726

0 5 0 354.672 22.626 1.479
0 5 1 463.908 27.192 3.269

0 6 0 388.991 25.034 1.121
0 6 1 472.145 25.743 2.359

0 7 0 324.686 23.172 1.893
0 7 1 398.212 26.211 1.792

0 8 0 443.097 27.446 2.248
0 8 1 459.656 27.739 2.163

0 9 0 465.090 30.798 1.333
0 9 1 470.813 26.099 2.054

0 10 0 456.027 26.157 2.174
0 10 1 457.955 26.515 2.196

0 11 0 417.303 20.393 2.395
0 11 1 447.466 22.256 1.934

0 12 0 393.448 27.921 2.278
0 12 1 390.413 28.931 2.401

0 13 0 431.468 26.305 2.553
0 13 1 412.878 25.353 2.399

0 14 0 497.862 27.141 2.843
0 14 1 420.716 29.037 1.355

0 15 0 451.622 24.813 2.393
0 15 1 402.178 25.870 1.786

0 16 0 377.589 30.352 1.900
0 16 1 416.371 33.112 2.257

0 17 0 350.949 26.105 1.648
0 17 1 417.021 27.593 3.583

0 18 0 381.001 30.500 2.093
0 18 1 382.021 30.498 2.026

0 19 0 413.410 35.367 2.564
0 19 1 363.201 32.387 1.963

1 0 0 0.000 0.000 -nan
1 0 1 0.000 0.000 -nan

1 1 0 472.347 15.766 2.744
1 1 1 546.152 12.045 3.414

1 2 0 454.055 33.027 0.856
1 2 1 449.610 29.278 1.733

1 3 0 453.598 18.484 1.513
1 3 1 519.581 18.652 2.342

1 4 0 452.587 28.014 1.411
1 4 1 505.425 28.219 2.222

1 5 0 377.173 30.031 0.649
1 5 1 416.845 28.247 1.228

1 6 0 417.482 26.587 1.198
1 6 1 396.359 29.108 1.482

1 7 0 393.909 20.857 1.031
1 7 1 426.565 22.044 1.182

1 8 0 432.052 27.352 1.898
1 8 1 397.899 26.685 1.702

1 9 0 528.800 28.541 3.541
1 9 1 628.275 45.702 1.957

1 10 0 467.578 24.629 1.920
1 10 1 408.738 21.031 1.391

1 11 0 431.174 25.401 1.280
1 11 1 385.250 22.743 0.877

1 12 0 417.518 27.026 1.529
1 12 1 426.631 31.299 1.690

1 13 0 444.009 23.271 1.628
1 13 1 435.838 19.534 1.688

1 14 0 428.712 27.033 1.737
1 14 1 407.641 28.494 1.289

1 15 0 521.702 43.147 1.270
1 15 1 444.549 29.724 1.903

1 16 0 439.207 17.208 2.289
1 16 1 573.893 22.274 2.897

1 17 0 545.137 28.115 4.923
1 17 1 485.855 28.905 3.758

1 18 0 445.442 27.340 1.742
1 18 1 425.272 29.230 1.306

1 19 0 0.000 0.000 -nan
1 19 1 0.000 0.000 -nan

2 0 0 415.101 29.333 2.838
2 0 1 425.714 30.387 3.186

2 1 0 459.966 19.621 2.134
2 1 1 526.401 31.302 2.802

2 2 0 392.793 20.907 1.798
2 2 1 425.415 21.290 1.871

2 3 0 451.784 25.260 2.040
2 3 1 517.562 27.347 1.775

2 4 0 529.014 13.703 3.431
2 4 1 547.854 20.735 3.890

2 5 0 433.150 25.310 2.647
2 5 1 521.121 27.440 3.973

2 6 0 525.940 21.582 3.234
2 6 1 459.039 24.821 1.571

2 7 0 422.854 36.967 1.730
2 7 1 449.779 36.887 1.888

2 8 0 594.304 20.721 2.164
2 8 1 557.363 25.915 1.637

2 9 0 619.572 36.349 1.768
2 9 1 722.600 47.540 1.251

2 10 0 506.331 25.182 2.102
2 10 1 456.726 20.161 1.980

2 11 0 529.009 27.631 0.851
2 11 1 480.394 18.208 2.029

2 12 0 467.710 15.006 2.116
2 12 1 520.790 20.059 2.878

2 13 0 474.142 33.290 1.630
2 13 1 419.027 27.296 1.309

2 14 0 446.949 22.105 1.430
2 14 1 440.255 22.014 1.477

2 15 0 529.886 20.606 2.037
2 15 1 507.331 30.604 0.928

2 16 0 470.649 32.956 1.744
2 16 1 482.149 29.905 2.149

2 17 0 497.929 25.298 2.055
2 17 1 531.441 20.690 2.634

2 18 0 474.502 36.696 1.619
2 18 1 507.376 37.816 3.332

2 19 0 512.378 34.666 2.756
2 19 1 461.792 34.226 1.991

